beta,gamma,Nr,R*,dP*,Theta*
0.195,3.6875,10.0,0.7311079149469796,0.12158535520559896,0.8078593664212759
0.195,3.7,10.0,0.7313742051329594,0.12122505725003833,0.807982552964745
0.195,3.7125,10.0,0.7316411892827877,0.12086909269484208,0.8081164951772861
0.195,4.5,4.0,0.7425733050441102,0.08288416870717144,0.7749071371747229
0.195,4.5,6.0,0.7372552543867784,0.09276080210630758,0.7930829604537127
0.1975,3.3625,10.0,0.7248000560406785,0.13340075112657052,0.8097167376068235
0.1975,3.375,10.0,0.7249783024936848,0.13290446294241864,0.8094074925822647
0.1975,3.3875,10.0,0.7251617285846863,0.13241408286150713,0.80911919975107
0.1975,3.4,10.0,0.7253502324198466,0.13192956727431668,0.808851648094885
0.1975,3.4125,10.0,0.7255437060871224,0.1314508710674891,0.8086046099405478
0.1975,3.425,10.0,0.7257420355811308,0.1309779476280454,0.80837784088809
0.1975,3.4375,10.0,0.725945100733314,0.13051074884117644,0.808171079788516
0.1975,3.45,10.0,0.7261527751353384,0.13004922509787536,0.8079840487793827
0.1975,3.4625,10.0,0.7263649260675482,0.12959332529453604,0.8078164533683311
0.1975,3.475,10.0,0.7265814144233435,0.12914299684078662,0.8076679825813065
0.1975,3.4875,10.0,0.7268020946307873,0.12869818566230148,0.8075383091615446
0.1975,3.5,10.0,0.7270268145758435,0.12825883621184864,0.80742708982945
0.1975,3.5125,10.0,0.7272554155373484,0.12782489147832832,0.8073339655991452
0.1975,3.525,10.0,0.7274877322256368,0.1273962930197141,0.8072585621076778
0.1975,3.5375,10.0,0.7277235930110364,0.1269729810072421,0.8072004899476012
0.1975,3.55,10.0,0.7279628202466467,0.12655489428506636,0.8071593450158695
0.1975,3.5625,10.0,0.7282052306116511,0.12614197044196584,0.8071347089191222
0.1975,3.575,10.0,0.7284506354528382,0.1257341458760215,0.8071261494350795
0.1975,3.5875,10.0,0.7286988411205803,0.12533135586873337,0.807133221031876
0.1975,3.6,10.0,0.7289496493030199,0.12493353465311237,0.8071554654482848
0.1975,3.6125,10.0,0.7292028573600117,0.12454061548739578,0.8071924123275208
0.1975,3.625,10.0,0.7294582586549458,0.12415253072795947,0.8072435799006854
0.1975,3.6375,10.0,0.7297156428839631,0.12376921190142658,0.8073084757263199
0.1975,3.65,10.0,0.7299747964102232,0.12339058977818236,0.807386597475102
0.1975,3.6625,10.0,0.7302355025974389,0.12301659444629061,0.8074774337550402
0.1975,3.675,10.0,0.7304975421436549,0.122647155391436,0.8075804649868744
0.1975,3.6875,10.0,0.730760693419509,0.1222822015638104,0.8076951643012715
0.1975,3.7,10.0,0.7310247328097521,0.12192166145845687,0.8078209984791945
0.1975,4.5,4.0,0.7423723587692077,0.08301480799608378,0.7744393211213858
0.1975,4.5,6.0,0.7369259619573381,0.09312206488226044,0.7926486662254194
0.2,3.325,10.0,0.7240239605230504,0.13565768403561762,0.8104978745407463
0.2,3.3375,10.0,0.7241843355429788,0.1351429602384157,0.8101306497321886
0.2,3.35,10.0,0.7243501580061656,0.13463427247098667,0.8097848549085572
0.2,3.3625,10.0,0.7245213427753558,0.13413158172290274,0.8094603240883688
0.2,3.375,10.0,0.7246977989467258,0.13363484747869217,0.8091568751429941
0.2,3.3875,10.0,0.7248794297647273,0.13314402771964692,0.8088743095942974
0.2,3.4,10.0,0.7250661325386428,0.13265907892703638,0.8086124124457437
0.2,3.4125,10.0,0.725257798561341,0.13217995607909458,0.8083709520683507
0.2,3.425,10.0,0.7254543130305584,0.1317066126580502,0.8081496801267202
0.2,3.4375,10.0,0.7256555549709143,0.1312390006455068,0.8079483315547079
0.2,3.45,10.0,0.725861397158126,0.13077707053087897,0.8077666245921289
0.2,3.4625,10.0,0.7260717060414316,0.13032077131802072,0.8076042608708197
0.2,3.475,10.0,0.7262863416644636,0.1298700505214091,0.8074609255583591
0.2,3.4875,10.0,0.7265051575867756,0.1294248541751829,0.8073362875626791
0.2,3.5,10.0,0.7267280007995008,0.12898512684479255,0.8072299997974273
0.2,3.5125,10.0,0.726954711645982,0.12855081162499157,0.8071416995090638
0.2,3.525,10.0,0.7271851238308167,0.12812185016835856,0.8070710086265991
0.2,3.5375,10.0,0.7274190646766286,0.12769818273149514,0.8070175340858784
0.2,3.55,10.0,0.7276563554704781,0.12727974825095095,0.8069808681810072
0.2,3.5625,10.0,0.7278968118127978,0.12686648440749887,0.8069605889761053
0.2,3.575,10.0,0.7281402439608677,0.1264583276940257,0.8069562607762648
0.2,3.5875,10.0,0.7283864571735972,0.12605521348944868,0.8069674346609456
0.2,3.6,10.0,0.7286352520500281,0.12565707612680696,0.8069936490775598
0.2,3.6125,10.0,0.7288864248692266,0.1252638489669773,0.8070344304842751
0.2,3.625,10.0,0.7291397679294404,0.12487546447018012,0.8070892940523029
0.2,3.6375,10.0,0.7293950698849733,0.1244918542692936,0.8071577444193742
0.2,3.65,10.0,0.7296521160864029,0.12411294923975272,0.8072392764847014
0.2,3.6625,10.0,0.7299106889216926,0.12373867958230378,0.8073333762585017
0.2,3.675,10.0,0.7301705681553494,0.12336897488748033,0.8074395217382405
0.2,3.6875,10.0,0.7304315312767891,0.12300376421534467,0.8075571838329691
0.2,4.5,4.0,0.7421860002426088,0.08315823562799386,0.7740100002318833
0.2,4.5,6.0,0.7366130001972498,0.09350018298729126,0.7922519992721797
0.2025,3.2875,10.0,0.723326486394568,0.13799778379533773,0.811461785610517
0.2025,3.3,10.0,0.7234682911548775,0.13746424395703824,0.8110356508477141
0.2025,3.3125,10.0,0.7236157653819699,0.13693685359926439,0.8106313050775122
0.2025,3.325,10.0,0.7237688398818303,0.1364155783438219,0.8102486251788238
0.2025,3.3375,10.0,0.7239274399879686,0.1359003823090793,0.8098874727333619
0.2025,3.35,10.0,0.7240914854646928,0.13539122810434395,0.8095476937180907
0.2025,3.3625,10.0,0.7242608904084253,0.1348880768372938,0.8092291182340965
0.2025,3.375,10.0,0.724435563153013,0.13439088810353267,0.8089315602565554
0.2025,3.3875,10.0,0.7246154061793558,0.13389962000044958,0.8086548174339179
0.2025,3.4,10.0,0.7248003160291915,0.13341422911938522,0.8083986709259076
0.2025,3.4125,10.0,0.7249901832183094,0.13293467054904662,0.8081628852779416
0.2025,3.425,10.0,0.7251848921545736,0.13246089788113116,0.8079472083574272
0.2025,3.4375,10.0,0.725384321057329,0.131992863206912,0.8077513713247924
0.2025,3.45,10.0,0.7255883418739573,0.13153051712708014,0.8075750886749707
0.2025,3.4625,10.0,0.7257968202048255,0.13107380875134278,0.8074180583171369
0.2025,3.475,10.0,0.726009615216419,0.13062268570565433,0.8072799617296763
0.2025,3.4875,10.0,0.7262265795644154,0.13017709413583173,0.8071604641610004
0.2025,3.5,10.0,0.7264475593108103,0.12973697871759754,0.8070592149010956
0.2025,3.5125,10.0,0.7266723938592154,0.12930228266943503,0.8069758476014485
